Operator,   Station        Unit,Zone,PTID,Town,Cnty,St,In-Service,Name Plate Rating (MW),CRIS_Summer,CRIS_Winter,Capability_Summer,Capability_Winter,Dual,Unit_Type,Fuel_1,Fuel_2,Net Energy (GWh)
"CPV Valley, LLC",CPV Valley CC2,G,323722,Wawayanda,71,36,2018-03-01,385,340,380.5,322.7,370,YES,CC,NG,FO2,"1,312.20"
"Cricket Valley Energy Center, LLC",Cricket Valley CC1,G,323756,Dover,27,36,2019-10-29,392.3,364.2,402.4,347.1,378.9,,CC,NG,,"1,799.40"
"Cricket Valley Energy Center, LLC",Cricket Valley CC2,G,323757,Dover,28,36,2020-01-03,392.3,361.2,399.1,345,379.5,,CC,NG,,"1,633.60"
"Cricket Valley Energy Center, LLC",Cricket Valley CC3,G,323758,Dover,29,36,2020-01-17,392.3,364.2,402.4,358.7,380.8,,CC,NG,,"1,782.10"
Orange and Rockland,Pomona ESR,G,323819,Pomona,87,36,2023-07-07,3,0,0,0,0,,ES,BAT,,-0.1
"Wheelabrator Westchester, LP",Wheelabrator Westchester,H,23653,Peekskill,119,36,1984-04-01,59.7,53.5,53.5,52.5,53.7,,ST,REF,,398.7
Direct Energy Marketing Inc,Arthur Kill GT 1,J,23520,Staten Island,85,36,1970-06-01,20,16.5,21.6,12.3,15.8,,GT,NG,,0.6
Direct Energy Marketing Inc,Arthur Kill ST 2,J,23512,Staten Island,85,36,1959-08-01,376.2,357.7,357.7,362.2,361,,ST,NG,,817.9
Direct Energy Marketing Inc,Arthur Kill ST 3,J,23513,Staten Island,85,36,1969-06-01,535.5,518,518,522.7,530,,ST,NG,,225.8
"Consolidated Edison Co. of NY, Inc.",Brooklyn Navy Yard,J,23515,Brooklyn,47,36,1996-11-01,322,266.9,348.6,247.5,295.3,YES,CC,NG,FO2,"1,953.90"
Astoria Generating Company L.P.,Astoria GT 01,J,23523,Queens,81,36,1967-07-01,16,15.7,20.5,13.8,17.6,,GT,NG,,0.6
Astoria Generating Company L.P.,Astoria 2,J,24149,Queens,81,36,1954-03-01,180,177,177,171.2,168.5,,ST,NG,,10.4
Astoria Generating Company L.P.,Astoria 3,J,23516,Queens,81,36,1958-09-01,376,369.9,369.9,372.4,374.4,YES,ST,NG,FO2,354.5
Astoria Generating Company L.P.,Astoria 5,J,23518,Queens,81,36,1962-05-01,387,376.3,376.3,373.3,371.7,YES,ST,NG,FO2,359.3
NRG Power Marketing LLC,Astoria GT 2-1,J,24094,Queens,81,36,1970-06-01,46.5,41.2,50.7,0,0,YES,JE,NG,KER,0.5
NRG Power Marketing LLC,Astoria GT 2-2,J,24095,Queens,81,36,1970-06-01,46.5,42.4,52.2,0,0,YES,JE,NG,KER,0.3
NRG Power Marketing LLC,Astoria GT 2-3,J,24096,Queens,81,36,1970-06-01,46.5,41.2,50.7,0,0,YES,JE,NG,KER,0.5
NRG Power Marketing LLC,Astoria GT 2-4,J,24097,Queens,81,36,1970-06-01,46.5,41,50.5,0,0,YES,JE,NG,KER,0.5
NRG Power Marketing LLC,Astoria GT 3-1,J,24098,Queens,81,36,1970-06-01,46.5,41.2,50.7,0,0,YES,JE,NG,KER,0.1
NRG Power Marketing LLC,Astoria GT 3-2,J,24099,Queens,81,36,1970-06-01,46.5,43.5,53.5,0,0,YES,JE,NG,KER,0.3
NRG Power Marketing LLC,Astoria GT 3-3,J,24100,Queens,81,36,1970-06-01,46.5,43,52.9,0,0,YES,JE,NG,KER,0.6
NRG Power Marketing LLC,Astoria GT 3-4,J,24101,Queens,81,36,1970-06-01,46.5,43,52.9,0,0,YES,JE,NG,KER,0.5
NRG Power Marketing LLC,Astoria GT 4-1,J,24102,Queens,81,36,1970-07-01,46.5,42.6,52.4,0,0,YES,JE,NG,KER,0.4
NRG Power Marketing LLC,Astoria GT 4-2,J,24103,Queens,81,36,1970-07-01,46.5,41.4,51,0,0,YES,JE,NG,KER,0.5
NRG Power Marketing LLC,Astoria GT 4-3,J,24104,Queens,81,36,1970-07-01,46.5,41.1,50.6,0,0,YES,JE,NG,KER,0.4
NRG Power Marketing LLC,Astoria GT 4-4,J,24105,Queens,81,36,1970-07-01,46.5,42.8,52.7,0,0,YES,JE,NG,KER,0.5
"Helix Ravenswood, LLC",Ravenswood ST 01,J,23533,Queens,81,36,1963-02-01,400,365.1,365.1,367,374,YES,ST,NG,FO4,257.2
"Helix Ravenswood, LLC",Ravenswood ST 02,J,23534,Queens,81,36,1963-05-01,400,391.6,391.6,375.3,375.2,YES,ST,NG,FO4,211
"Helix Ravenswood, LLC",Ravenswood ST 03,J,23535,Queens,81,36,1965-06-01,"1,027.00",986.8,986.8,987.3,972.8,YES,ST,NG,FO4,323.9
"Helix Ravenswood, LLC",Ravenswood CC 04,J,23820,Queens,81,36,2004-05-01,250,231.2,276.7,228.6,274,YES,CC,NG,FO2,"1,909.60"
"Helix Ravenswood, LLC",Ravenswood 10,J,24258,Queens,81,36,1970-08-01,25,21.2,27,0,0,YES,JE,NG,KER,0.8
"Consolidated Edison Co. of NY, Inc.",East River 1,J,323558,Manhattan,61,36,2005-04-01,185,160.5,199,151.5,197.8,YES,CC,NG,KER,"1,029.20"
"Consolidated Edison Co. of NY, Inc.",East River 2,J,323559,Manhattan,61,36,2005-04-05,185,162.4,201.4,155,199.1,YES,CC,NG,KER,992.4
"Consolidated Edison Co. of NY, Inc.",East River 6,J,23660,Manhattan,61,36,1951-11-01,156.2,144.3,144.3,131.6,140.5,YES,ST,NG,FO6,498.6
"Consolidated Edison Co. of NY, Inc.",East River 7,J,23524,Manhattan,61,36,1955-06-01,200,186.7,186.7,182.4,186.7,YES,ST,NG,FO6,557.9
"East Coast Power, LLC",Linden Cogen,J,23786,Linden NJ,39,34,1992-05-01,800,790.8,924.9,737.1,806.8,YES,CC,NG,BUT,"4,390.70"
Calpine Energy Services LP,KIAC_JFK (BTM:NG),J,323774,Jamaica,81,36,1995-02-01,121.2,117,117,106.4,97.8,YES,CC,NG,FO2,423.3
Astoria Generating Company L.P.,Gowanus 2-1,J,24114,Brooklyn,47,36,1971-06-01,20,17.9,23.4,16.6,21.1,YES,GT,NG,FO2,0.4
Astoria Generating Company L.P.,Gowanus 2-2,J,24115,Brooklyn,47,36,1971-06-01,20,18.8,24.6,16.5,21.9,YES,GT,NG,FO2,0.7
Astoria Generating Company L.P.,Gowanus 2-3,J,24116,Brooklyn,47,36,1971-06-01,20,20.6,26.9,19.1,23.4,YES,GT,NG,FO2,0.8
Astoria Generating Company L.P.,Gowanus 2-4,J,24117,Brooklyn,47,36,1971-06-01,20,19.3,25.2,16.6,21,YES,GT,NG,FO2,0.6
Astoria Generating Company L.P.,Gowanus 2-5,J,24118,Brooklyn,47,36,1971-06-01,20,18.6,24.3,17.6,23.3,YES,GT,NG,FO2,0.9
Astoria Generating Company L.P.,Gowanus 2-6,J,24119,Brooklyn,47,36,1971-06-01,20,20.3,26.5,18.8,23.2,YES,GT,NG,FO2,0.8
Astoria Generating Company L.P.,Gowanus 2-7,J,24120,Brooklyn,47,36,1971-06-01,20,19.6,25.6,18.8,23.6,YES,GT,NG,FO2,1.1
Astoria Generating Company L.P.,Gowanus 2-8,J,24121,Brooklyn,47,36,1971-06-01,20,17.7,23.1,16.9,21.6,YES,GT,NG,FO2,0.9
Astoria Generating Company L.P.,Gowanus 3-1,J,24122,Brooklyn,47,36,1971-07-01,20,17.7,23.1,17.7,21,YES,GT,NG,FO2,0.4
Astoria Generating Company L.P.,Gowanus 3-2,J,24123,Brooklyn,47,36,1971-07-01,20,17.7,23.1,16.9,22.5,YES,GT,NG,FO2,0.5
Astoria Generating Company L.P.,Gowanus 3-3,J,24124,Brooklyn,47,36,1971-07-01,20,19.8,25.9,17.6,23.4,YES,GT,NG,FO2,0.4
Astoria Generating Company L.P.,Gowanus 3-4,J,24125,Brooklyn,47,36,1971-07-01,20,17.9,23.4,16.8,21.9,YES,GT,NG,FO2,0.6
Astoria Generating Company L.P.,Gowanus 3-5,J,24126,Brooklyn,47,36,1971-07-01,20,19,24.8,17.6,22.5,YES,GT,NG,FO2,0.4
Astoria Generating Company L.P.,Gowanus 3-6,J,24127,Brooklyn,47,36,1971-07-01,20,17.6,23,15.6,20.8,YES,GT,NG,FO2,0.3
Astoria Generating Company L.P.,Gowanus 3-7,J,24128,Brooklyn,47,36,1971-07-01,20,18.1,23.6,18.4,23.3,YES,GT,NG,FO2,0.6
Astoria Generating Company L.P.,Gowanus 3-8,J,24129,Brooklyn,47,36,1971-07-01,20,19,24.8,17.9,23.1,YES,GT,NG,FO2,0.4
New York Power Authority,Gowanus 5,J,24156,Brooklyn,47,36,2001-08-01,47,45.4,45.4,40,40,,GT,NG,,28
New York Power Authority,Gowanus 6,J,24157,Brooklyn,47,36,2001-08-01,47,46.1,46.1,39.9,39.9,,GT,NG,,27.5
"Consolidated Edison Co. of NY, Inc.",59 St.  GT 1,J,24138,Manhattan,61,36,1969-06-01,17.1,15.4,20.1,13.9,17.4,YES,GT,NG,KER,0.3
New York Power Authority,Kent,J,24152,Brooklyn,47,36,2001-08-01,47,46.9,46.9,46,46,,GT,NG,,33.1
New York Power Authority,Pouch,J,24155,Staten Island,85,36,2001-08-01,47,47.1,47.1,45.4,46,,GT,NG,,43.9
New York Power Authority,Hellgate 1,J,24158,Bronx,5,36,2001-08-01,47,45,45,39.9,39.9,,GT,NG,,58.8
New York Power Authority,Hellgate 2,J,24159,Bronx,5,36,2001-08-01,47,45,45,39.6,40,,GT,NG,,43.8
New York Power Authority,Harlem River 1,J,24160,Bronx,5,36,2001-08-01,47,46,46,39.9,39.9,,GT,NG,,59.6
New York Power Authority,Harlem River 2,J,24161,Bronx,5,36,2001-08-01,47,45.2,45.2,39.6,40,,GT,NG,,35.5
New York Power Authority,Vernon Blvd 2,J,24162,Queens,81,36,2001-08-01,47,46.2,46.2,40,40,,GT,NG,,61.3
New York Power Authority,Vernon Blvd 3,J,24163,Queens,81,36,2001-08-01,47,43.8,43.8,39.9,39.9,,GT,NG,,61.5
Astoria Generating Company L.P.,Narrows 1-1,J,24228,Brooklyn,47,36,1972-05-01,22,21,27.4,18.3,23.6,YES,GT,NG,FO2,2.1
Astoria Generating Company L.P.,Narrows 1-2,J,24229,Brooklyn,47,36,1972-05-01,22,19.5,25.5,17,22.2,YES,GT,NG,FO2,0.7
Astoria Generating Company L.P.,Narrows 1-3,J,24230,Brooklyn,47,36,1972-05-01,22,20.4,26.6,17.2,22.6,YES,GT,NG,FO2,1.2
Astoria Generating Company L.P.,Narrows 1-4,J,24231,Brooklyn,47,36,1972-05-01,22,20.1,26.3,17.9,23.3,YES,GT,NG,FO2,1.7
Astoria Generating Company L.P.,Narrows 1-5,J,24232,Brooklyn,47,36,1972-05-01,22,19.8,25.9,19,24.7,YES,GT,NG,FO2,2.8
Astoria Generating Company L.P.,Narrows 1-6,J,24233,Brooklyn,47,36,1972-05-01,22,18.9,24.7,15.6,20.6,YES,GT,NG,FO2,0.7
Astoria Generating Company L.P.,Narrows 1-7,J,24234,Brooklyn,47,36,1972-05-01,22,18.4,24,18.5,24.4,YES,GT,NG,FO2,1.8
Astoria Generating Company L.P.,Narrows 1-8,J,24235,Brooklyn,47,36,1972-05-01,22,19.9,26,16.5,21.7,YES,GT,NG,FO2,1
Astoria Generating Company L.P.,Narrows 2-1,J,24236,Brooklyn,47,36,1972-06-01,22,19.4,25.3,18.8,23.9,YES,GT,NG,FO2,2.5
Astoria Generating Company L.P.,Narrows 2-2,J,24237,Brooklyn,47,36,1972-06-01,22,18.7,24.4,16.7,21.8,YES,GT,NG,FO2,1.4
Astoria Generating Company L.P.,Narrows 2-3,J,24238,Brooklyn,47,36,1972-06-01,22,18.4,24,17.9,22.2,YES,GT,NG,FO2,1.4
Astoria Generating Company L.P.,Narrows 2-4,J,24239,Brooklyn,47,36,1972-06-01,22,18.4,24,19.4,24.5,YES,GT,NG,FO2,3.2
Astoria Generating Company L.P.,Narrows 2-5,J,24240,Brooklyn,47,36,1972-06-01,22,19.9,26,20.3,24.9,YES,GT,NG,FO2,3.6
Astoria Generating Company L.P.,Narrows 2-6,J,24241,Brooklyn,47,36,1972-06-01,22,18.1,23.6,16.1,20.3,YES,GT,NG,FO2,1.1
Astoria Generating Company L.P.,Narrows 2-7,J,24242,Brooklyn,47,36,1972-06-01,22,20.7,27,18.5,23.7,YES,GT,NG,FO2,2.1
Astoria Generating Company L.P.,Narrows 2-8,J,24243,Brooklyn,47,36,1972-06-01,22,17.5,22.9,16.6,21.3,YES,GT,NG,FO2,1
New York Power Authority,Astoria CC 1,J,323568,Queens,81,36,2006-01-01,288,246.2,270.2,237,270.2,YES,CC,NG,FO2,"3,413.00"
New York Power Authority,Astoria CC 2,J,323569,Queens,81,36,2006-01-01,288,246.2,270.2,237,270.2,YES,CC,NG,FO2,
Astoria Energy LLC,Astoria East Energy - CC1,J,323581,Queens,81,36,2006-04-01,320,292.6,355.3,289.6,334.9,YES,CC,NG,FO2,"4,113.30"
Astoria Energy LLC,Astoria East Energy - CC2,J,323582,Queens,81,36,2006-04-01,320,292.6,355.3,289.6,334.9,YES,CC,NG,FO2,
"Astoria Energy II, LLC",Astoria Energy 2 - CC3,J,323677,Queens,81,36,2011-07-01,330,288,376.3,285.3,329.8,YES,CC,NG,FO2,"3,903.60"
"Astoria Energy II, LLC",Astoria Energy 2 - CC4,J,323678,Queens,81,36,2011-07-01,330,288,376.3,285.3,329.8,YES,CC,NG,FO2,
"Bayonne Energy Center, LLC",Bayonne EC  CTG1,J,323682,Bayonne NJ,17,34,2012-06-01,64,63.2,66.1,62,62.6,YES,JE,NG,KER,101.8
"Bayonne Energy Center, LLC",Bayonne EC  CTG2,J,323683,Bayonne NJ,17,34,2012-06-01,64,63.2,66.1,58,62.5,YES,JE,NG,KER,76.9
"Bayonne Energy Center, LLC",Bayonne EC  CTG3,J,323684,Bayonne NJ,17,34,2012-06-01,64,63.2,66.1,58,63,YES,JE,NG,KER,47
"Bayonne Energy Center, LLC",Bayonne EC  CTG4,J,323685,Bayonne NJ,17,34,2012-06-01,64,63.2,66.1,61.1,62.8,YES,JE,NG,KER,79.5
"Bayonne Energy Center, LLC",Bayonne EC  CTG5,J,323686,Bayonne NJ,17,34,2012-06-01,64,63.2,66.1,58.5,62.4,YES,JE,NG,KER,38.1
"Bayonne Energy Center, LLC",Bayonne EC  CTG6,J,323687,Bayonne NJ,17,34,2012-06-01,64,63.2,66.1,59,62.9,YES,JE,NG,KER,39.5
"Bayonne Energy Center, LLC",Bayonne EC  CTG7,J,323688,Bayonne NJ,17,34,2012-06-01,64,63.2,66.1,59.3,62.5,YES,JE,NG,KER,88.3
"Bayonne Energy Center, LLC",Bayonne EC  CTG8,J,323689,Bayonne NJ,17,34,2012-06-01,64,63.2,66.1,60,63,YES,JE,NG,KER,72.2
"Bayonne Energy Center, LLC",Bayonne EC  CTG9,J,323749,Bayonne NJ,17,34,2018-06-01,64,63.4,66.3,61.3,65,YES,JE,NG,KER,101.8
"Bayonne Energy Center, LLC",Bayonne EC  CTG10,J,323750,Bayonne NJ,17,34,2018-06-01,64,63.4,66.3,61.4,64.9,YES,JE,NG,KER,106.6
Cubit Power One Inc.,Arthur Kill Cogen,J,323718,Staten Island,85,36,2018-05-22,11.1,11.1,11.1,11.1,10.7,,IC,NG,,51.3
New York Power Authority,Greenport IC 4,K,1652,Greenport,103,36,1957-06-06,1.2,1.7,1.7,1,1,,IC,FO2,,0
New York Power Authority,Greenport IC 5,K,1652,Greenport,103,36,1965-07-08,1.8,1.7,1.7,1.5,1.5,,IC,FO2,,0
New York Power Authority,Greenport IC 6,K,1652,Greenport,103,36,1971-09-17,3.8,2.7,2.7,3.1,3.1,,IC,FO2,,0
Freeport Electric,Freeport 1-2,K,1660,Freeport,59,36,1949-08-01,2.9,2,2,2.5,2,,IC,FO2,,0
Freeport Electric,Freeport 1-3,K,1660,Freeport,59,36,1954-08-01,3.4,2.1,2.1,2.9,2.1,,IC,FO2,,0
Freeport Electric,Freeport 2-3,K,1660,Freeport,59,36,1973-05-01,18.2,18.1,18.1,15.7,18.3,,GT,KER,,0.1
"Rockville Centre, Village of",Charles P Keller 09,K,1661,Rockville Centre,59,36,1954-09-01,3.5,3.3,3.3,1.9,1.9,YES,IC,NG,FO2,0
"Rockville Centre, Village of",Charles P Keller 10,K,1661,Rockville Centre,59,36,1954-09-01,3.5,3.2,3.2,1.9,1.9,YES,IC,NG,FO2,0
"Rockville Centre, Village of",Charles P Keller 11,K,1661,Rockville Centre,59,36,1962-09-01,5.2,5.2,5.2,2.8,2.8,YES,IC,NG,FO2,0
"Rockville Centre, Village of",Charles P Keller 12,K,1661,Rockville Centre,59,36,1967-09-01,5.5,5.5,5.5,3,3,YES,IC,NG,FO2,0
"Rockville Centre, Village of",Charles P Keller 13,K,1661,Rockville Centre,59,36,1974-09-01,5.5,5.6,5.6,3,3,YES,IC,NG,FO2,0
"Rockville Centre, Village of",Charles P Keller 14,K,1661,Rockville Centre,59,36,1994-09-01,6.2,6.3,6.3,3.4,3.4,YES,IC,NG,FO2,0.2
Long Island Power Authority,Wading River 1,K,23522,Shoreham,103,36,1989-08-01,79.5,81.2,106.1,79.7,97.6,,GT,FO2,,5.1
Long Island Power Authority,Wading River 2,K,23547,Shoreham,103,36,1989-08-01,79.5,81.3,106.2,76.4,96.6,,GT,FO2,,2.8
Long Island Power Authority,Wading River 3,K,23601,Shoreham,103,36,1989-08-01,79.5,81.3,106.2,75.3,97.9,,GT,FO2,,4.7
Long Island Power Authority,Barrett ST 01,K,23545,Island Park,59,36,1956-11-01,188,200.2,200.2,195,192.5,YES,ST,NG,FO6,806.9
Long Island Power Authority,Barrett ST 02,K,23546,Island Park,59,36,1963-10-01,188,197.5,197.5,188,190.2,YES,ST,NG,FO6,491.7
Long Island Power Authority,Barrett GT 01,K,23704,Island Park,59,36,1970-06-01,18,18.1,23.6,14,20,YES,GT,NG,FO2,4.1
Long Island Power Authority,Barrett GT 02,K,23705,Island Park,59,36,1970-06-01,18,17.4,22.7,13.6,19.8,YES,GT,NG,FO2,4.9
Long Island Power Authority,Barrett 03,K,23706,Island Park,59,36,1970-06-01,18,17.9,23.4,13.7,19.1,YES,GT,NG,FO2,3.9
Long Island Power Authority,Barrett 04,K,23707,Island Park,59,36,1970-07-01,18,17.7,23.1,15.8,18.2,YES,GT,NG,FO2,2.9
Long Island Power Authority,Barrett 05,K,23708,Island Park,59,36,1970-07-01,18,17.8,23.3,13.5,16.5,YES,GT,NG,FO2,3.2
Long Island Power Authority,Barrett 06,K,23709,Island Park,59,36,1970-07-01,18,17.8,23.3,14.1,18.8,YES,GT,NG,FO2,3.8
Long Island Power Authority,Barrett 08,K,23711,Island Park,59,36,1970-07-01,18,17.3,22.6,12.3,15.6,YES,GT,NG,FO2,3.8
Long Island Power Authority,Barrett 09,K,23700,Island Park,59,36,1971-06-01,41.8,43.4,55.2,31.2,49.2,YES,JE,NG,FO2,18.6
Long Island Power Authority,Barrett 10,K,23701,Island Park,59,36,1971-06-01,41.8,42.7,54.3,39.6,48,YES,JE,NG,FO2,37.9
Long Island Power Authority,Barrett 11,K,23702,Island Park,59,36,1971-06-01,41.8,43.3,55.1,39,48.3,YES,JE,NG,FO2,30.1
Long Island Power Authority,Barrett 12,K,23703,Island Park,59,36,1971-06-01,41.8,44,56,39.4,47.7,YES,JE,NG,FO2,16.1
Long Island Power Authority,Northport 1,K,23551,Northport,103,36,1967-07-01,387,395,395,398,398.3,YES,ST,NG,FO6,730.1
Long Island Power Authority,Northport 2,K,23552,Northport,103,36,1968-06-01,387,396,396,399.4,399.2,YES,ST,NG,FO6,659.1
Long Island Power Authority,Northport 3,K,23553,Northport,103,36,1972-07-01,387,399.2,399.2,388.5,398,YES,ST,NG,FO6,719.6
Long Island Power Authority,Northport 4,K,23650,Northport,103,36,1977-12-01,387,399.2,399.2,368,368.2,YES,ST,NG,FO6,281.3
Long Island Power Authority,Port Jefferson GT 02,K,24210,Port Jefferson,103,36,2002-07-01,53,44,52,40.6,43.4,YES,GT,NG,FO2,23.8
Long Island Power Authority,Port Jefferson GT 03,K,24211,Port Jefferson,103,36,2002-07-01,53,43.1,50.9,40,48.3,YES,GT,NG,FO2,39.8
Long Island Power Authority,Port Jefferson 3,K,23555,Port Jefferson,103,36,1958-11-01,188,194.5,194.5,189.7,194.5,YES,ST,NG,FO6,169.9
Long Island Power Authority,Port Jefferson 4,K,23616,Port Jefferson,103,36,1960-11-01,188,198.7,198.7,194,189.4,YES,ST,NG,FO6,122.2
Long Island Power Authority,Hempstead (RR),K,23647,Hempstead,59,36,1989-10-01,78.6,73.7,73.7,74.8,75.8,,ST,REF,,499
Long Island Power Authority,Glenwood GT 02,K,23688,Glenwood,59,36,1972-06-01,55,52.7,68.8,59.3,62.9,,GT,FO2,,0.3
Long Island Power Authority,Glenwood GT 03,K,23689,Glenwood,59,36,1972-06-01,55,54.7,71.5,52,65.9,,GT,FO2,,0.3
Long Island Power Authority,Glenwood GT 04,K,24219,Glenwood,59,36,2002-06-01,53,42.3,50,43.3,46.2,YES,GT,NG,FO2,70.4
Long Island Power Authority,Glenwood GT 05,K,24220,Glenwood,59,36,2002-06-01,53,42,49.6,44.1,46.3,YES,GT,NG,FO2,84
Long Island Power Authority,Holtsville 01,K,23690,Holtsville,103,36,1974-07-01,56.7,56.7,72.1,55,65.2,,JE,FO2,,2
Long Island Power Authority,Holtsville 02,K,23691,Holtsville,103,36,1974-07-01,56.7,55.3,70.3,57,65.4,,JE,FO2,,1.5
Long Island Power Authority,Holtsville 03,K,23692,Holtsville,103,36,1974-07-01,56.7,52.1,66.3,51.1,63.7,,JE,FO2,,1.5
Long Island Power Authority,Holtsville 04,K,23693,Holtsville,103,36,1974-07-01,56.7,52.7,67,54.3,63.9,,JE,FO2,,1.2
Long Island Power Authority,Holtsville 05,K,23694,Holtsville,103,36,1974-07-01,56.7,55.3,70.3,53.4,62.2,,JE,FO2,,2
Long Island Power Authority,Holtsville 06,K,23695,Holtsville,103,36,1975-07-01,56.7,53,67.4,49.1,65,,JE,FO2,,2.7
Long Island Power Authority,Holtsville 07,K,23696,Holtsville,103,36,1975-07-01,56.7,55.1,70.1,53,62.2,,JE,FO2,,0.8
Long Island Power Authority,Holtsville 08,K,23697,Holtsville,103,36,1975-07-01,56.7,57.4,73,52.1,64.8,,JE,FO2,,0.7
Long Island Power Authority,Holtsville 09,K,23698,Holtsville,103,36,1975-07-01,56.7,57.5,73.1,54.2,66.7,,JE,FO2,,2.3
Long Island Power Authority,Holtsville 10,K,23699,Holtsville,103,36,1975-07-01,56.7,55.1,70.1,46.1,63,,JE,FO2,,1.1
Long Island Power Authority,Shoreham 1,K,23715,Shoreham,103,36,1971-07-01,52.9,48.9,63.9,42,63,,GT,FO2,,0.3
Long Island Power Authority,Shoreham 2,K,23716,Shoreham,103,36,1984-04-01,18.6,18.5,23.5,17.4,21.5,,JE,FO2,,0.5
"RWE Clean Energy Wholesale Services, Inc.",Shoreham GT3,K,24213,Shoreham,103,36,2002-08-01,50,45.4,45.4,42.1,45.8,,GT,FO2,,6.3
"RWE Clean Energy Wholesale Services, Inc.",Shoreham GT4,K,24214,Shoreham,103,36,2002-08-01,50,43.9,43.9,41.2,45.4,,GT,FO2,,7.1
Long Island Power Authority,East Hampton GT 01,K,23717,E Hampton,103,36,1970-12-01,21.3,19.2,24.4,18.2,23.5,,JE,FO2,,10.2
Long Island Power Authority,East Hampton 2,K,23722,E Hampton,103,36,1962-12-01,2,2,2,2,2,,IC,FO2,,0.7
Long Island Power Authority,East Hampton 3,K,23722,E Hampton,103,36,1962-12-01,2,2,2,2,2,,IC,FO2,,0.5
Long Island Power Authority,East Hampton 4,K,23722,E Hampton,103,36,1962-12-01,2,2,2,2,2,,IC,FO2,,0.8
Long Island Power Authority,Southold 1,K,23719,Southold,103,36,1964-08-01,14,12.3,16.1,9.4,12.7,,GT,FO2,,0.7
Long Island Power Authority,S Hampton 1,K,23720,South Hampton,103,36,1963-03-01,11.5,10.3,13.5,7.8,11.7,,GT,FO2,,0
"RWE Clean Energy Wholesale Services, Inc.",Freeport CT 1,K,23764,Freeport,59,36,2004-06-01,60,48.3,51.3,45.9,47.1,YES,GT,NG,FO2,54.6
Freeport Electric,Freeport CT 2,K,23818,Freeport,59,36,2004-03-01,50,50.3,50.3,43,43,YES,GT,NG,KER,24
New York Power Authority,Flynn,K,23794,Holtsville,103,36,1994-05-01,170,135.5,168.4,139.5,160,YES,CC,NG,FO2,401.2
Long Island Power Authority,Greenport GT1,K,23814,Greenport,103,36,2003-07-02,54,51.9,52.4,51.2,55.5,,JE,FO2,,15.6
"MPH Rockaway Peakers, LLC",Far Rockaway GT1,K,24212,Far Rockaway,81,36,2002-07-01,60.5,53.5,73.1,48.9,50,,JE,NG,,62.9
"MPH Rockaway Peakers, LLC",Far Rockaway GT2,K,23815,Jamaica Bay,81,36,2003-07-02,60.5,55.4,75.7,55.7,60,YES,JE,NG,FO2,55.6
Calpine Energy Services LP,Bethpage,K,23823,Hicksville,59,36,1989-09-01,83.6,54.9,55.1,52,56.9,YES,CC,NG,FO2,258.9
Long Island Power Authority,Bethpage 3,K,323564,Hicksville,59,36,2005-05-01,96,79.9,91.4,76,77.3,,CC,NG,,174.9
Calpine Energy Services LP,Bethpage GT4,K,323586,Hicksville,59,36,2002-07-01,60,48.2,51.2,43.6,46.7,,GT,NG,,156.2
Calpine Energy Services LP,Stony Brook   (BTM:NG),K,24151,Stony Brook,103,36,1995-04-01,47,0,0,0,0,YES,GT,NG,FO2,288.5
New York Power Authority,Brentwood,K,24164,Brentwood,103,36,2001-08-01,47,47.1,47.1,45,46,,GT,NG,,36.9
"RWE Clean Energy Wholesale Services, Inc.",Pilgrim GT1,K,24216,Brentwood,103,36,2002-08-01,50,45.6,45.6,41.9,44.6,,GT,NG,,53.6
"RWE Clean Energy Wholesale Services, Inc.",Pilgrim GT2,K,24217,Brentwood,103,36,2002-08-01,50,46.2,46.2,41.9,45.4,,GT,NG,,43.6
Long Island Power Authority,Pinelawn Power 1,K,323563,Babylon,103,36,2005-06-01,82,78,78,73.4,77.3,YES,CC,NG,KER,81.7
Long Island Power Authority,Caithness_CC_1,K,323624,Brookhaven,103,36,2009-08-01,375,315.6,389.8,306.9,359,YES,CC,NG,FO2,"2,464.30"
Long Island Power Authority,Islip (RR),K,323679,Ronkonkoma,103,36,1990-03-01,12.5,11.2,11.2,8.5,8,,ST,REF,,54.1
Long Island Power Authority,Long Island Solar Farm,K,323691,Upton,103,36,2011-11-01,31.5,31.5,31.5,31.5,31.5,,PV,SUN,,45.6
Long Island Power Authority,Calverton Solar,K,323806,Riverhead,103,36,2022-06-02,22.9,22.9,22.9,22.9,22.9,,PV,SUN,,43.5
Long Island Power Authority,Babylon (RR),K,323704,Babylon,103,36,1989-04-01,17,15.5,15.5,15.6,15.3,,ST,REF,,118.1
Long Island Power Authority,Huntington (RR),K,323705,Huntington,103,36,1991-12-01,28,24.7,24.7,24.7,24.5,,ST,REF,,195.1
,,,,,,,,,,,,,,,,,
,,Table III-2a - NYISO Market Totals:,,,,,,"42,696.70","39,307.60","42,251.50","37,374.90","39,704.80",,,,,"122,649.00"
